descriptor,Te,r^2 (Te),Vp,RMSE (Vp),n0,Vf,i_sat
0.0,3.477890528092922,0.984647359057082,7.21375,0.058330400500916056,9515978073.482641,-0.91625,-2.6488095238095213e-05
0.4871447902571042,3.9683054187087428,0.9974031497806732,8.17,0.05831069904869437,8941952822.703712,-0.91625,-2.658730158730156e-05
0.9742895805142084,3.9220525702587117,0.9817935638071223,8.17,0.05814797958722415,9195894554.575409,-0.91625,-2.7182539682539636e-05
1.4614343707713127,3.720114324166716,0.9917741928448023,7.21375,0.05512384829626969,9442185858.360878,-0.9362499999999999,-2.7182539682539626e-05
1.9485791610284169,3.654175668459119,0.9916129213424767,8.17,0.07044340558671999,9214065355.669884,-0.9362499999999999,-2.6289682539682506e-05
2.435723951285521,4.100071223616409,0.9839974268096676,8.17,0.06716952232630256,8600143859.685665,-0.9362499999999999,-2.5992063492063465e-05
2.9228687415426253,3.6631889111946982,0.9848287779594143,8.17,0.06929018950612838,7709450809.084475,-0.9362499999999999,-2.202380952380951e-05
3.4100135317997298,3.7538869043751766,0.9841744742350913,8.17,0.06383613316308562,8027408990.223287,-0.9362499999999999,-2.321428571428571e-05
3.8971583220568338,3.738786058564369,0.9842821566024184,8.17,0.06784029024880044,7974855136.060282,-0.9362499999999999,-2.3015873015873e-05
4.384303112313938,3.8897598500162673,0.9909532377652269,8.17,0.07559345233301443,7515252792.434901,-0.9362499999999999,-2.212301587301588e-05
4.871447902571042,3.8652608115614138,0.9910592571170946,8.17,0.06811237951531057,7437610040.401115,-0.9362499999999999,-2.1825396825396817e-05
5.358592692828147,3.776163727412575,0.9844500569643999,8.17,0.06816005806848864,7559046044.613946,-0.9562499999999999,-2.1924603174603162e-05
5.845737483085251,4.463580937069905,0.9523996104423987,9.16625,0.07112413673752245,7581854760.053084,-0.9362499999999999,-2.3908730158730158e-05
6.332882273342355,4.531999199568621,0.9522593851944914,9.16625,0.07089973305960814,7774179430.469261,-0.9362499999999999,-2.4702380952380886e-05
6.8200270635994595,4.257547647386372,0.9506164225149942,9.16625,0.053384215003567846,8053049626.106229,-0.9362499999999999,-2.480158730158728e-05
